n		total		num top row
1		1		1		0		0		0		0		0		
2		3		2		1		0		0		0		0		
3		17		9		7		1		0		0		0		
4		140		68		57		14		1		0		0		
5		1575		700		644		205		25		1		0		
6		23095		9450		9452		3562		588		42		1		
