n	total	num top row
1	1	1	0	0	0	0	0	
2	3	2	1	0	0	0	0	
3	17	9	7	1	0	0	0	
4	140	68	57	14	1	0	0	
5	1581	700	649	206	25	1	0	
6	23489	9486	9719	3646	595	42	1	
